"id_notes";"libelle_notes";"type_notes";"idtype_notes";"idclasse_notes";"idmat_notes";"idprof_notes";"ideleve_notes";"codeEtab_notes";"valeur_notes";"obser_notes";"session_notes";"typesess_notes";"date_notes";"niveau_notes";"cycle_notes";"sousmatiere_notes";"statut_notes";"coef_notes";"notecoef_notes";"nc_notes";"studentmat_notes";"code_notes";"matricule_notes"
"66";"interro2";"1";"34";"22";"14";"1750";"1530";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:23:07";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"67";"interro2";"1";"34";"22";"14";"1750";"1836";"000279";"16";"Bien";"2020-2021";"1";"2021-02-01 06:23:08";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"68";"interro2";"1";"34";"22";"14";"1750";"1589";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:09";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"69";"interro2";"1";"34";"22";"14";"1750";"1536";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:32";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"70";"interro2";"1";"34";"22";"14";"1750";"1539";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:32";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"71";"interro2";"1";"34";"22";"14";"1750";"1545";"000279";"16";"Bien";"2020-2021";"1";"2021-02-01 06:23:34";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"72";"interro2";"1";"34";"22";"14";"1750";"1842";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:33";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"73";"interro2";"1";"34";"22";"14";"1750";"1548";"000279";"16";"Bien";"2020-2021";"1";"2021-02-01 06:23:35";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"74";"interro2";"1";"34";"22";"14";"1750";"1557";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:23:36";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"75";"interro2";"1";"34";"22";"14";"1750";"1562";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:36";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"76";"interro2";"1";"34";"22";"14";"1750";"1568";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:23:37";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"77";"interro2";"1";"34";"22";"14";"1750";"1565";"000279";"16";"Bien";"2020-2021";"1";"2021-02-01 06:23:39";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"78";"interro2";"1";"34";"22";"14";"1750";"1571";"000279";"16";"Bien";"2020-2021";"1";"2021-02-01 06:23:39";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"79";"interro2";"1";"34";"22";"14";"1750";"1583";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"80";"interro2";"1";"34";"22";"14";"1750";"1577";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"81";"interro2";"1";"34";"22";"14";"1750";"1580";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 07:32:21";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"82";"interro2";"1";"34";"22";"14";"1750";"1595";"000279";"18";"Excellent";"2020-2021";"1";"2021-02-01 07:32:21";"SIXIEME";"1ER CYCLE";"0";"0";"1";"18";"0";\N;\N;\N
"83";"interro2";"1";"34";"22";"14";"1750";"1610";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 07:32:22";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"84";"interro2";"1";"34";"22";"14";"1750";"1616";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 07:32:22";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"85";"interro2";"1";"34";"22";"14";"1750";"1601";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 07:32:22";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"86";"interro2";"1";"34";"22";"14";"1750";"1604";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 07:32:22";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"87";"interro2";"1";"34";"22";"14";"1750";"1590";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 07:32:22";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"88";"interro2";"1";"34";"22";"14";"1750";"1629";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 07:32:22";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"89";"interro3";"1";"35";"22";"14";"1750";"1472";"000279";"18";"Excellent";"2020-2021";"1";"2021-02-01 06:21:51";"SIXIEME";"1ER CYCLE";"0";"0";"1";"18";"0";\N;\N;\N
